Title,Link,ASIN,Price,Rating,Num_Reviews
"Soundcore P30i by Anker Noise Cancelling Earbuds, Strong and Smart Noise Cancelling, Powerful Bass, 45H Playtime, 2-in-1 Case and Phone Stand, IP54, Wireless Earbuds, Bluetooth 5.4 (Black)",https://www.amazon.eg/-/en/Soundcore-Cancelling-Powerful-Playtime-Bluetooth/dp/B0CRTYZG5C/ref=sr_1_11?dib=eyJ2IjoiMSJ9.yl3m33qmQFV_Z77Dmqij9_7uQe_5lhz7NiS_9TFIKZRCSuVxPdvMv6ShAm-aa9naT7cCR58Wo68oXq5yr9QnLPwRhc9yTgqOn-cORIJbNgrf8DUCwMwMN9eMbdwrQUVHTjQ2Na6dVsz-Bk-QHH--dx9FVxqs8H79axD41MFWi7AP_I5LisPTKAJv084wrXzUoc8B5_yG5BQR_sQus78NQdwKeBU_82yTvAUcVS4T965MPB6aq6-l_hHmslnrgQYA-2twJcsWm1X6A8M3BZuE2WugAAvSAE7QurSJSkB_fA4.WT7FRRx2kB9LdqLtreJB_6CngMk35iudyLdiHGqzMG8&dib_tag=se&qid=1759817080&s=electronics&sr=1-11&xpid=ZsUd_BzzbA__g,B0CRTYZG5C,,4.2,13.7K
"Soundcore By Anker R50i True Wireless Earbuds 10mm Drivers, Big Bass, Bluetooth 5.3, 30H Playtime, IPX5-Water Resistant, AI Clear Calls with 2 Mics, 22 Preset EQs via App, Black, 18 Months Warranty",https://www.amazon.eg/-/en/Soundcore-Anker-Bluetooth-IPX5-Water-Resistant/dp/B0CM6JQHTL/ref=sr_1_12?dib=eyJ2IjoiMSJ9.yl3m33qmQFV_Z77Dmqij9_7uQe_5lhz7NiS_9TFIKZRCSuVxPdvMv6ShAm-aa9naT7cCR58Wo68oXq5yr9QnLPwRhc9yTgqOn-cORIJbNgrf8DUCwMwMN9eMbdwrQUVHTjQ2Na6dVsz-Bk-QHH--dx9FVxqs8H79axD41MFWi7AP_I5LisPTKAJv084wrXzUoc8B5_yG5BQR_sQus78NQdwKeBU_82yTvAUcVS4T965MPB6aq6-l_hHmslnrgQYA-2twJcsWm1X6A8M3BZuE2WugAAvSAE7QurSJSkB_fA4.WT7FRRx2kB9LdqLtreJB_6CngMk35iudyLdiHGqzMG8&dib_tag=se&qid=1759817080&s=electronics&sr=1-12&xpid=ZsUd_BzzbA__g,B0CM6JQHTL,749,3.8,387
"Anker Soundcore VI R50i True Wireless Earbuds with 10mm Drivers for Powerful Bass, Bluetooth 5.3, Long Playtime (30 Hours), Water Resistant, 2 Clear Mics, and 22 Preset EQs,18 Months Warranty",https://www.amazon.eg/-/en/Anker-Soundcore-Wireless-Bluetooth-Resistant/dp/B0C7CQT9ZS/ref=sr_1_13?dib=eyJ2IjoiMSJ9.yl3m33qmQFV_Z77Dmqij9_7uQe_5lhz7NiS_9TFIKZRCSuVxPdvMv6ShAm-aa9naT7cCR58Wo68oXq5yr9QnLPwRhc9yTgqOn-cORIJbNgrf8DUCwMwMN9eMbdwrQUVHTjQ2Na6dVsz-Bk-QHH--dx9FVxqs8H79axD41MFWi7AP_I5LisPTKAJv084wrXzUoc8B5_yG5BQR_sQus78NQdwKeBU_82yTvAUcVS4T965MPB6aq6-l_hHmslnrgQYA-2twJcsWm1X6A8M3BZuE2WugAAvSAE7QurSJSkB_fA4.WT7FRRx2kB9LdqLtreJB_6CngMk35iudyLdiHGqzMG8&dib_tag=se&qid=1759817080&s=electronics&sr=1-13&xpid=ZsUd_BzzbA__g,B0C7CQT9ZS,864,4.1,2.1K
"Wireless Earbuds (PRO 2nd generation) Bluetooth for Android/iOS with Touch Control, Noise Canceling, Charging case",https://www.amazon.eg/-/en/Wireless-generation-Bluetooth-Canceling-Charging/dp/B0CHWWMCSF/ref=sr_1_14?dib=eyJ2IjoiMSJ9.yl3m33qmQFV_Z77Dmqij9_7uQe_5lhz7NiS_9TFIKZRCSuVxPdvMv6ShAm-aa9naT7cCR58Wo68oXq5yr9QnLPwRhc9yTgqOn-cORIJbNgrf8DUCwMwMN9eMbdwrQUVHTjQ2Na6dVsz-Bk-QHH--dx9FVxqs8H79axD41MFWi7AP_I5LisPTKAJv084wrXzUoc8B5_yG5BQR_sQus78NQdwKeBU_82yTvAUcVS4T965MPB6aq6-l_hHmslnrgQYA-2twJcsWm1X6A8M3BZuE2WugAAvSAE7QurSJSkB_fA4.WT7FRRx2kB9LdqLtreJB_6CngMk35iudyLdiHGqzMG8&dib_tag=se&qid=1759817080&s=electronics&sr=1-14&xpid=ZsUd_BzzbA__g,B0CHWWMCSF,285,2.5,72
"Anker soundcore life u2i bluetooth neckband with 22 h playtime, 10 mm drivers,clear calls , usb-c fast charging, foldable & lightweight build, ipx5 waterproof - black-18 months local warranty",https://www.amazon.eg/-/en/soundcore-bluetooth-neckband-lightweight-waterproof/dp/B09K7MM86Z/ref=sr_1_15?dib=eyJ2IjoiMSJ9.yl3m33qmQFV_Z77Dmqij9_7uQe_5lhz7NiS_9TFIKZRCSuVxPdvMv6ShAm-aa9naT7cCR58Wo68oXq5yr9QnLPwRhc9yTgqOn-cORIJbNgrf8DUCwMwMN9eMbdwrQUVHTjQ2Na6dVsz-Bk-QHH--dx9FVxqs8H79axD41MFWi7AP_I5LisPTKAJv084wrXzUoc8B5_yG5BQR_sQus78NQdwKeBU_82yTvAUcVS4T965MPB6aq6-l_hHmslnrgQYA-2twJcsWm1X6A8M3BZuE2WugAAvSAE7QurSJSkB_fA4.WT7FRRx2kB9LdqLtreJB_6CngMk35iudyLdiHGqzMG8&dib_tag=se&qid=1759817080&s=electronics&sr=1-15&xpid=ZsUd_BzzbA__g,B09K7MM86Z,677,3.9,1.7K
"Samsung Galaxy Buds3 Pro, Wireless Bluetooth Earbuds with Adaptive: Noise Control, Hi-Fi Sound, 360 Audio-Silver - 1 Year Local Warranty",https://www.amazon.eg/-/en/Samsung-Wireless-Bluetooth-Earbuds-Adaptive/dp/B0D8LHSKTX/ref=sr_1_16?dib=eyJ2IjoiMSJ9.yl3m33qmQFV_Z77Dmqij9_7uQe_5lhz7NiS_9TFIKZRCSuVxPdvMv6ShAm-aa9naT7cCR58Wo68oXq5yr9QnLPwRhc9yTgqOn-cORIJbNgrf8DUCwMwMN9eMbdwrQUVHTjQ2Na6dVsz-Bk-QHH--dx9FVxqs8H79axD41MFWi7AP_I5LisPTKAJv084wrXzUoc8B5_yG5BQR_sQus78NQdwKeBU_82yTvAUcVS4T965MPB6aq6-l_hHmslnrgQYA-2twJcsWm1X6A8M3BZuE2WugAAvSAE7QurSJSkB_fA4.WT7FRRx2kB9LdqLtreJB_6CngMk35iudyLdiHGqzMG8&dib_tag=se&qid=1759817080&s=electronics&sr=1-16&xpid=ZsUd_BzzbA__g,B0D8LHSKTX,"5,949",4.2,404
"Soundcore K20i by Anker, Semi-in-Ear Earbuds, Bluetooth Wireless, 36H Playtime, Fast Charge, Clear Sound, ENC 2-Mic Clear Calls, Custom EQ, IPX5, Bluetooth 5.3, App Control (Black) 18 Months Warranty",https://www.amazon.eg/-/en/Soundcore-Bluetooth-Wireless-Playtime-Warranty/dp/B0D22RLPP3/ref=sr_1_17?dib=eyJ2IjoiMSJ9.yl3m33qmQFV_Z77Dmqij9_7uQe_5lhz7NiS_9TFIKZRCSuVxPdvMv6ShAm-aa9naT7cCR58Wo68oXq5yr9QnLPwRhc9yTgqOn-cORIJbNgrf8DUCwMwMN9eMbdwrQUVHTjQ2Na6dVsz-Bk-QHH--dx9FVxqs8H79axD41MFWi7AP_I5LisPTKAJv084wrXzUoc8B5_yG5BQR_sQus78NQdwKeBU_82yTvAUcVS4T965MPB6aq6-l_hHmslnrgQYA-2twJcsWm1X6A8M3BZuE2WugAAvSAE7QurSJSkB_fA4.WT7FRRx2kB9LdqLtreJB_6CngMk35iudyLdiHGqzMG8&dib_tag=se&qid=1759817080&s=electronics&sr=1-17&xpid=ZsUd_BzzbA__g,B0D22RLPP3,660,3.4,2.3K
M10 New M10 TWS Immersive Wireless Earbuds with Wireless Charging Case Bluetooth 5.1 9D Premium Sound Deep Bass Sports Waterproof IPX7 with Mic 6 hr Playing Time,https://www.amazon.eg/-/en/M10-Immersive-Wireless-Bluetooth-Waterproof/dp/B096N9YPC8/ref=sr_1_18?dib=eyJ2IjoiMSJ9.yl3m33qmQFV_Z77Dmqij9_7uQe_5lhz7NiS_9TFIKZRCSuVxPdvMv6ShAm-aa9naT7cCR58Wo68oXq5yr9QnLPwRhc9yTgqOn-cORIJbNgrf8DUCwMwMN9eMbdwrQUVHTjQ2Na6dVsz-Bk-QHH--dx9FVxqs8H79axD41MFWi7AP_I5LisPTKAJv084wrXzUoc8B5_yG5BQR_sQus78NQdwKeBU_82yTvAUcVS4T965MPB6aq6-l_hHmslnrgQYA-2twJcsWm1X6A8M3BZuE2WugAAvSAE7QurSJSkB_fA4.WT7FRRx2kB9LdqLtreJB_6CngMk35iudyLdiHGqzMG8&dib_tag=se&qid=1759817080&s=electronics&sr=1-18&xpid=ZsUd_BzzbA__g,B096N9YPC8,157,2.6,365
"Oraimo Necklace Lite OEB-311 Neckband Wireless in Ear Earphones Deep Bass,30Hrs Playtime,ASAP Charge,ENC Tech,Low-Latency Ergonomic Neckband, Sweat-Resistant Magnetic Earbuds, Dual Pairing",https://www.amazon.eg/-/en/Oraimo-Earphones-Low-Latency-Ergonomic-Sweat-Resistant/dp/B0DHHDRCVQ/ref=sr_1_19?dib=eyJ2IjoiMSJ9.yl3m33qmQFV_Z77Dmqij9_7uQe_5lhz7NiS_9TFIKZRCSuVxPdvMv6ShAm-aa9naT7cCR58Wo68oXq5yr9QnLPwRhc9yTgqOn-cORIJbNgrf8DUCwMwMN9eMbdwrQUVHTjQ2Na6dVsz-Bk-QHH--dx9FVxqs8H79axD41MFWi7AP_I5LisPTKAJv084wrXzUoc8B5_yG5BQR_sQus78NQdwKeBU_82yTvAUcVS4T965MPB6aq6-l_hHmslnrgQYA-2twJcsWm1X6A8M3BZuE2WugAAvSAE7QurSJSkB_fA4.WT7FRRx2kB9LdqLtreJB_6CngMk35iudyLdiHGqzMG8&dib_tag=se&qid=1759817080&s=electronics&sr=1-19&xpid=ZsUd_BzzbA__g,B0DHHDRCVQ,664,4.0,60
"Soundcore Liberty 4 NC Earbuds, 98.5 Percent Noise Reduction, Adaptive Cancelling To Ears And Environment, Hi-Res Sound, 50H Battery, Wireless Charging, Bluetooth 5.3 Navy Blue -18 Months Warranty",https://www.amazon.eg/-/en/Soundcore-Reduction-Cancelling-Environment-Bluetooth/dp/B0CFXMZRGV/ref=sr_1_20?dib=eyJ2IjoiMSJ9.yl3m33qmQFV_Z77Dmqij9_7uQe_5lhz7NiS_9TFIKZRCSuVxPdvMv6ShAm-aa9naT7cCR58Wo68oXq5yr9QnLPwRhc9yTgqOn-cORIJbNgrf8DUCwMwMN9eMbdwrQUVHTjQ2Na6dVsz-Bk-QHH--dx9FVxqs8H79axD41MFWi7AP_I5LisPTKAJv084wrXzUoc8B5_yG5BQR_sQus78NQdwKeBU_82yTvAUcVS4T965MPB6aq6-l_hHmslnrgQYA-2twJcsWm1X6A8M3BZuE2WugAAvSAE7QurSJSkB_fA4.WT7FRRx2kB9LdqLtreJB_6CngMk35iudyLdiHGqzMG8&dib_tag=se&qid=1759817080&s=electronics&sr=1-20&xpid=ZsUd_BzzbA__g,B0CFXMZRGV,"3,150",4.0,99
