Title,ASIN,Stars,Review,Price,clean_review
"Jxrev USB C Headphones,Type C Wired Earbuds, in-Ear Headphones with Microphone Noise Canceling Stereo, Earphones Compatible with iPhone 15/Samsung S23/Android/iPad Pro and Most USB C Devices",B0DB1V1HNC,3.0,متوسطه الجوده,118,متوسطه الجوده
"Jxrev USB C Headphones,Type C Wired Earbuds, in-Ear Headphones with Microphone Noise Canceling Stereo, Earphones Compatible with iPhone 15/Samsung S23/Android/iPad Pro and Most USB C Devices",B0DB1V1HNC,5.0,جميله وصوتها جميل بس لسه مجربتش المكالمات,118,جميله وصوتها جميل بس لسه مجربتش المكالمات
"Jxrev USB C Headphones,Type C Wired Earbuds, in-Ear Headphones with Microphone Noise Canceling Stereo, Earphones Compatible with iPhone 15/Samsung S23/Android/iPad Pro and Most USB C Devices",B0DB1V1HNC,4.0,جد كتير عملي وصوته حلو,118,جد كتير عملي وصوته حلو
"Jxrev USB C Headphones,Type C Wired Earbuds, in-Ear Headphones with Microphone Noise Canceling Stereo, Earphones Compatible with iPhone 15/Samsung S23/Android/iPad Pro and Most USB C Devices",B0DB1V1HNC,5.0,سماعة جامدة و شكلها بريميم أوي🤗💜,118,سماعة جامدة و شكلها بريميم أوي
"Jxrev USB C Headphones,Type C Wired Earbuds, in-Ear Headphones with Microphone Noise Canceling Stereo, Earphones Compatible with iPhone 15/Samsung S23/Android/iPad Pro and Most USB C Devices",B0DB1V1HNC,1.0,خامة رديئة,118,خامة رديئة
"Jxrev USB C Headphones,Type C Wired Earbuds, in-Ear Headphones with Microphone Noise Canceling Stereo, Earphones Compatible with iPhone 15/Samsung S23/Android/iPad Pro and Most USB C Devices",B0DB1V1HNC,1.0,"وحشششة جدا منصحش حد بيها
لا صوت ولا مايك
فلوس ع الارض",118,وحشششة جدا منصحش حد بيها لا صوت ولا مايك فلوس ع الارض
"Jxrev USB C Headphones,Type C Wired Earbuds, in-Ear Headphones with Microphone Noise Canceling Stereo, Earphones Compatible with iPhone 15/Samsung S23/Android/iPad Pro and Most USB C Devices",B0DB1V1HNC,1.0,فيها زبالة استخدام والزراير بتعلق,118,فيها زبالة استخدام والزراير بتعلق
"Jxrev USB C Headphones,Type C Wired Earbuds, in-Ear Headphones with Microphone Noise Canceling Stereo, Earphones Compatible with iPhone 15/Samsung S23/Android/iPad Pro and Most USB C Devices",B0DB1V1HNC,1.0,منتج ردئ. لا انصح به,118,منتج ردئ لا انصح به
"Jxrev USB C Headphones,Type C Wired Earbuds, in-Ear Headphones with Microphone Noise Canceling Stereo, Earphones Compatible with iPhone 15/Samsung S23/Android/iPad Pro and Most USB C Devices",B0DB1V1HNC,1.0,السماعات لا تعمل,118,السماعات لا تعمل
"Jxrev USB C Headphones,Type C Wired Earbuds, in-Ear Headphones with Microphone Noise Canceling Stereo, Earphones Compatible with iPhone 15/Samsung S23/Android/iPad Pro and Most USB C Devices",B0DB1V1HNC,1.0,جايالي مستعملة,118,جايالي مستعملة
"Jxrev USB C Headphones,Type C Wired Earbuds, in-Ear Headphones with Microphone Noise Canceling Stereo, Earphones Compatible with iPhone 15/Samsung S23/Android/iPad Pro and Most USB C Devices",B0DB1V1HNC,1.0,لم يصلني المنتج,118,لم يصلني المنتج
"Jxrev USB C Headphones,Type C Wired Earbuds, in-Ear Headphones with Microphone Noise Canceling Stereo, Earphones Compatible with iPhone 15/Samsung S23/Android/iPad Pro and Most USB C Devices",B0DB1V1HNC,5.0,سماعه محترمة و العلبة الاجه و صوتها عالي و نضيف,118,سماعه محترمة و العلبة الاجه و صوتها عالي و نضيف
"Jxrev USB C Headphones,Type C Wired Earbuds, in-Ear Headphones with Microphone Noise Canceling Stereo, Earphones Compatible with iPhone 15/Samsung S23/Android/iPad Pro and Most USB C Devices",B0DB1V1HNC,5.0,ممتازة صوت نقي,118,ممتازة صوت نقي
"ABKONCORE B58ABKONCORE B581 USB Gaming Headset with 7.1 Surround Sound, PC Headset with Noise Cancelling Microphone, LED Light Headphones for PC, Laptop",B07VQ6YNQZ,5.0,"خامتها نضيفة اوي اكتر من سعرها بس برضو مش بتاعت خبط ورزع
الصوت كويس و واضح في كل حاجة مش مسرسع ولا بيزي عالفاضي زي الحاجات الرخصية
المايك كويس بس لو في مكان هادي لكن حساس اوي للهوا لو في مروحة او الهوا الي بيطلع من البق و النفس",550,خامتها نضيفة اوي اكتر من سعرها بس برضو مش بتاعت خبط ورزع الصوت كويس و واضح في كل حاجة مش مسرسع ولا بيزي عالفاضي زي الحاجات الرخصية المايك كويس بس لو في مكان هادي لكن حساس اوي للهوا لو في مروحة او الهوا الي بيطلع من البق و النفس
"ABKONCORE B58ABKONCORE B581 USB Gaming Headset with 7.1 Surround Sound, PC Headset with Noise Cancelling Microphone, LED Light Headphones for PC, Laptop",B07VQ6YNQZ,3.0,لسماعه كصوت ومايك وجوده حلوه بالنسبه لسعرها... بس مش مريحه اطلاقا ساعه بالظبط وهتتخنق من اللبس... لو هتستخدمها لفترات طويله منصحش بيها,550,لسماعه كصوت ومايك وجوده حلوه بالنسبه لسعرها بس مش مريحه اطلاقا ساعه بالظبط وهتتخنق من اللبس لو هتستخدمها لفترات طويله منصحش بيها
"ABKONCORE B58ABKONCORE B581 USB Gaming Headset with 7.1 Surround Sound, PC Headset with Noise Cancelling Microphone, LED Light Headphones for PC, Laptop",B07VQ6YNQZ,5.0,ممتازة والمايك خرافي حرافيا مشغل مبرد هوائي وهو لاصق جنبي ومفيش اي صوت للهواء خارج من المايك وكمان سماعة محيطية وصوتها عالي ونقي,550,ممتازة والمايك خرافي حرافيا مشغل مبرد هوائي وهو لاصق جنبي ومفيش اي صوت للهواء خارج من المايك وكمان سماعة محيطية وصوتها عالي ونقي
"ABKONCORE B58ABKONCORE B581 USB Gaming Headset with 7.1 Surround Sound, PC Headset with Noise Cancelling Microphone, LED Light Headphones for PC, Laptop",B07VQ6YNQZ,5.0,ممتازة جداً بس السوفت وير اتوقف عنو الدعم بس بالنسبة للسعر دا احسن حاجه تشتريها من غير نقاش متفكرش هي بس لو انت لابس نظارة نظر هتوجع سنه مكان النظارات,550,ممتازة جدا بس السوفت وير اتوقف عنو الدعم بس بالنسبة للسعر دا احسن حاجه تشتريها من غير نقاش متفكرش هي بس لو انت لابس نظارة نظر هتوجع سنه مكان النظارات
"ABKONCORE B58ABKONCORE B581 USB Gaming Headset with 7.1 Surround Sound, PC Headset with Noise Cancelling Microphone, LED Light Headphones for PC, Laptop",B07VQ6YNQZ,4.0,"صوت كويس و محيطي و يعجب أي جيمر و هيكون مفيد ليك جداً لو واخد الموضوع احتراف
المايك كويس بس ياريت لو كان ينفع يتشال من مكانه كان هيبقى أحسن كتير
السلك طويل جداً و متين جداً ودي حاجة كويسة
جاي معاها CD للتعريفات و 2 مغناطيس عشان التشويش
ال RGB باللون الأزرق شكله جميل جداً
مش هتنفعك في حاله إن أنت عايزها تسمع موسيقى أو أفلام لأنها بتشتغل ب سلك مفيهاش بلوتوث
وهتعوز وصلة OTG لو عايز تشغلها على الموبايل أو التابلت",550,صوت كويس و محيطي و يعجب أي جيمر و هيكون مفيد ليك جدا لو واخد الموضوع احتراف المايك كويس بس ياريت لو كان ينفع يتشال من مكانه كان هيبقى أحسن كتير السلك طويل جدا و متين جدا ودي حاجة كويسة جاي معاها للتعريفات و مغناطيس عشان التشويش ال باللون الأزرق شكله جميل جدا مش هتنفعك في حاله إن أنت عايزها تسمع موسيقى أو أفلام لأنها بتشتغل ب سلك مفيهاش بلوتوث وهتعوز وصلة لو عايز تشغلها على الموبايل أو التابلت
"ABKONCORE B58ABKONCORE B581 USB Gaming Headset with 7.1 Surround Sound, PC Headset with Noise Cancelling Microphone, LED Light Headphones for PC, Laptop",B07VQ6YNQZ,3.0,مكملتش ساعة حرفيا واتخنقت منها مش مريحة اطلاقا وخاصة لو انت لابس نضارة والمايك بالنسبة لسعرها بصراحة في احسن من كده وصوتها مش احسن حاجة في احسن من كده بردو لكن المحيطية الي فيها تغفرلها شوية,550,مكملتش ساعة حرفيا واتخنقت منها مش مريحة اطلاقا وخاصة لو انت لابس نضارة والمايك بالنسبة لسعرها بصراحة في احسن من كده وصوتها مش احسن حاجة في احسن من كده بردو لكن المحيطية الي فيها تغفرلها شوية
